2009-11-25 01:41:02 status unpacked libattr1 1:2.4.43-2
2009-11-25 01:41:02 status half-configured libattr1 1:2.4.43-2
2009-11-25 01:41:02 status installed libattr1 1:2.4.43-2
2009-11-25 01:41:02 configure sed 4.1.5-6 4.1.5-6
2009-11-25 01:41:02 status unpacked sed 4.1.5-6
2009-11-25 01:41:02 status half-configured sed 4.1.5-6
2009-11-25 01:41:02 status installed sed 4.1.5-6
2009-11-25 01:41:02 configure base-passwd 3.5.20 3.5.20
2009-11-25 01:41:02 status unpacked base-passwd 3.5.20
2009-11-25 01:41:02 status half-configured base-passwd 3.5.20
2009-11-25 01:41:02 status installed base-passwd 3.5.20
2009-11-25 01:41:02 configure libcomerr2 1.41.3-1 1.41.3-1
2009-11-25 01:41:02 status unpacked libcomerr2 1.41.3-1
2009-11-25 01:41:02 status half-configured libcomerr2 1.41.3-1
2009-11-25 01:41:02 status installed libcomerr2 1.41.3-1
2009-11-25 01:41:02 configure mawk 1.3.3-11.1 1.3.3-11.1
2009-11-25 01:41:02 status unpacked mawk 1.3.3-11.1
2009-11-25 01:41:02 status half-configured mawk 1.3.3-11.1
2009-11-25 01:41:02 status installed mawk 1.3.3-11.1
2009-11-25 01:41:02 configure libdb4.6 4.6.21-11 4.6.21-11
2009-11-25 01:41:02 status unpacked libdb4.6 4.6.21-11
2009-11-25 01:41:02 status half-configured libdb4.6 4.6.21-11
2009-11-25 01:41:02 status installed libdb4.6 4.6.21-11
2009-11-25 01:41:02 configure grep 2.5.3~dfsg-6 2.5.3~dfsg-6
2009-11-25 01:41:02 status unpacked grep 2.5.3~dfsg-6
2009-11-25 01:41:02 status half-configured grep 2.5.3~dfsg-6
2009-11-25 01:41:02 status installed grep 2.5.3~dfsg-6
